year,state,county,fips,diabetes_pct,food_insecurity_pct
2023,AL,1081040502,01081,10.2,14.099999999999998
2023,CA,6065941002,06065,14.0,9.700000000000001
2023,CO,8029964900,08029,11.8,14.099999999999998
2023,CO,8123001500,08123,8.9,8.9
2023,CO,8123002209,08123,8.7,8.9
2023,FL,12011010401,12011,10.3,10.8
2023,FL,12011020315,12011,10.8,10.8
2023,FL,12011020318,12011,10.5,10.8
2023,FL,12011030902,12011,10.4,10.8
2023,FL,12019030210,12019,13.4,9.5
2023,FL,12069030409,12069,19.8,12.4
2023,FL,12083002503,12083,13.6,13.100000000000001
2023,FL,12095016504,12095,12.6,12.8
2023,FL,12095016724,12095,11.2,12.8
2023,FL,12095016756,12095,9.1,12.8
2023,FL,12095017120,12095,9.5,12.8
2023,FL,12097043500,12097,12.1,13.8
2023,FL,12103027801,12103,13.7,12.2
2023,FL,12119911702,12119,17.3,11.4
2023,ID,16001002228,16001,10.1,7.8
2023,AL,1061050300,01061,19.3,18.4
2023,AL,1033020703,01033,13.2,15.9
2023,AL,1051031002,01051,13.7,12.5
2023,AL,1003011603,01003,17.3,12.4
2023,AL,1015002001,01015,12.0,16.1
2023,AL,1017954600,01017,17.7,15.1
2023,AL,1025957500,01025,18.0,19.1
2023,AL,1065040100,01065,15.7,19.2
2023,AL,1035960400,01035,22.0,16.0
2023,AL,1045020200,01045,16.8,17.1
2023,AL,1055000500,01055,18.2,16.3
2023,AL,1007010009,01007,22.7,16.400000000000002
2023,AL,1015000500,01015,30.6,16.1
2023,AL,1021060403,01021,15.2,15.9
2023,AL,1045021101,01045,13.0,17.1
2023,AL,1055010503,01055,12.1,16.3
2023,AL,1017953900,01017,18.6,15.1
2023,AL,1049960401,01049,14.5,16.0
2023,AL,1007010001,01007,16.6,16.400000000000002
2023,AL,1039962300,01039,13.7,16.400000000000002
2023,AL,1059973200,01059,16.8,14.899999999999999
2023,AL,1021060702,01021,15.6,15.9
2023,AL,1049961300,01049,17.8,16.0
2023,AL,1057020400,01057,14.9,17.8
2023,AL,1001020200,01001,15.8,14.499999999999998
2023,AL,1061050600,01061,14.8,18.4
2023,AL,1055010300,01055,17.5,16.3
2023,AL,1051031300,01051,12.1,12.5
2023,AL,1025957604,01025,17.2,19.1
2023,AL,1021060104,01021,13.7,15.9
2023,AL,1009050604,01009,13.5,13.8
2023,AL,1015001400,01015,17.4,16.1
2023,AL,1063060000,01063,32.7,22.3
2023,AL,1021060101,01021,15.8,15.9
2023,AL,1047956702,01047,17.5,20.3
2023,AL,1051030103,01051,12.3,12.5
2023,AL,1049961100,01049,13.8,16.0
2023,AL,1003011503,01003,14.0,12.4
2023,AL,1043964800,01043,12.8,14.7
2023,AL,1063060102,01063,26.4,22.3
2023,AL,1043965300,01043,14.9,14.7
2023,AL,1015000800,01015,17.7,16.1
2023,AL,1003011104,01003,13.0,12.4
2023,AL,1059973100,01059,12.5,14.899999999999999
2023,AL,1033020902,01033,14.2,15.9
2023,AL,1025957700,01025,20.5,19.1
2023,AL,1037961000,01037,19.5,14.000000000000002
2023,AL,1015001801,01015,14.1,16.1
2023,AL,1031011300,01031,21.8,14.6
2023,AL,1031010600,01031,16.2,14.6
2023,AL,1003011419,01003,14.8,12.4
2023,AL,1029959500,01029,15.7,16.1
2023,AL,1035960600,01035,23.7,16.0
2023,AL,1013952900,01013,17.4,16.3
2023,AL,1047957100,01047,26.1,20.3
2023,AL,1015001501,01015,15.5,16.1
2023,AL,1051031200,01051,19.8,12.5
2023,AL,1031010200,01031,15.6,14.6
2023,AL,1053970700,01053,17.2,18.2
2023,AL,1039961600,01039,15.2,16.400000000000002
2023,AL,1067030100,01067,20.9,13.700000000000001
2023,AL,1061050200,01061,15.7,18.4
2023,AL,1011952201,01011,24.0,16.0
2023,AL,1053969801,01053,17.3,18.2
2023,AL,1045021400,01045,17.2,17.1
2023,AL,1047956500,01047,28.1,20.3
2023,AL,1015002102,01015,12.3,16.1
2023,AL,1055000700,01055,23.4,16.3
2023,AL,1051030802,01051,15.2,12.5
2023,AL,1055001300,01055,18.7,16.3
2023,AL,1009050106,01009,14.9,13.8
2023,AL,1023957000,01023,17.4,16.900000000000002
2023,AL,1001020803,01001,16.4,14.499999999999998
2023,AL,1069040204,01069,13.3,15.299999999999999
2023,AL,1005950200,01005,18.6,19.5
2023,AL,1001020502,01001,10.0,14.499999999999998
2023,AL,1015001103,01015,15.5,16.1
2023,AL,1005950600,01005,19.4,19.5
2023,AL,1047956400,01047,25.4,20.3
2023,AL,1039961900,01039,16.3,16.400000000000002
2023,AL,1053970500,01053,19.1,18.2
2023,AL,1033020400,01033,12.0,15.9
2023,AL,1001020801,01001,12.8,14.499999999999998
2023,AL,1017954300,01017,14.8,15.1
2023,AL,1055000300,01055,29.4,16.3
2023,AL,1055010601,01055,12.6,16.3
2023,AL,1003011201,01003,13.4,12.4
2023,AL,1061050500,01061,17.8,18.4
2023,AL,1031010100,01031,15.9,14.6
2023,AL,1047956202,01047,20.1,20.3
2023,AL,1045021102,01045,16.1,17.1
2023,AL,1039961700,01039,17.2,16.400000000000002
2023,AL,1007010008,01007,14.5,16.400000000000002
2023,AL,1055010202,01055,13.5,16.3
2023,AL,1039962100,01039,16.4,16.400000000000002
2023,AL,1003011501,01003,15.2,12.4
2023,AL,1059973600,01059,17.4,14.899999999999999
2023,AL,1053970100,01053,15.4,18.2
2023,AL,1015000200,01015,18.6,16.1
2023,AL,1003010500,01003,14.4,12.4
2023,AL,1045020300,01045,15.6,17.1
2023,AL,1015001700,01015,14.4,16.1
2023,AL,1051030701,01051,11.2,12.5
2023,AL,1063060200,01063,25.8,22.3
2023,AL,1001020600,01001,13.5,14.499999999999998
2023,AL,1009050702,01009,15.0,13.8
2023,AL,1055010201,01055,16.1,16.3
2023,AL,1003011604,01003,15.9,12.4
2023,AL,1051030600,01051,14.4,12.5
2023,AL,1059972900,01059,17.9,14.899999999999999
2023,AL,1009050601,01009,12.6,13.8
2023,AL,1001020501,01001,10.2,14.499999999999998
2023,AL,1015002400,01015,13.4,16.1
2023,AL,1049960200,01049,17.5,16.0
2023,AL,1031010300,01031,13.3,14.6
2023,AL,1067030600,01067,16.8,13.700000000000001
2023,AL,1047957000,01047,23.1,20.3
2023,AL,1011952100,01011,28.2,16.0
2023,AL,1003011416,01003,14.1,12.4
2023,AL,1049961000,01049,16.7,16.0
2023,AL,1003010903,01003,13.2,12.4
2023,AL,1003010704,01003,10.4,12.4
2023,AL,1013953200,01013,17.7,16.3
2023,AL,1041963400,01041,19.8,15.2
2023,AL,1067030300,01067,20.9,13.700000000000001
2023,AL,1049961400,01049,17.8,16.0
2023,AL,1059973500,01059,13.3,14.899999999999999
2023,AL,1039962400,01039,15.7,16.400000000000002
2023,AL,1055001700,01055,23.9,16.3
2023,AL,1029959600,01029,14.4,16.1
2023,AL,1033020706,01033,12.2,15.9
2023,AL,1009050400,01009,12.7,13.8
2023,AL,1043964902,01043,13.0,14.7
2023,AL,1043964400,01043,12.7,14.7
2023,AL,1019955701,01019,18.6,14.2
2023,AL,1033020300,01033,25.5,15.9
2023,AL,1051030401,01051,15.3,12.5
2023,AL,1043964201,01043,12.2,14.7
2023,AL,1047957302,01047,19.7,20.3
2023,AL,1055000800,01055,24.7,16.3
2023,AL,1003010200,01003,13.1,12.4
2023,AL,1049960703,01049,15.0,16.0
2023,AL,1015001101,01015,12.5,16.1
2023,AL,1007010006,01007,14.3,16.400000000000002
2023,AL,1049960101,01049,18.7,16.0
2023,AL,1043964700,01043,12.1,14.7
2023,AL,1013953400,01013,23.0,16.3
2023,AL,1001021000,01001,16.4,14.499999999999998
2023,AL,1007010007,01007,13.8,16.400000000000002
2023,AL,1015002600,01015,15.2,16.1
2023,AL,1003010907,01003,11.6,12.4
2023,AL,1043965402,01043,14.5,14.7
2023,AL,1019956000,01019,15.7,14.2
2023,AL,1009050501,01009,12.7,13.8
2023,AL,1055010100,01055,15.8,16.3
2023,AL,1017954200,01017,14.5,15.1
2023,AL,1053970400,01053,18.5,18.2
2023,AL,1003010400,01003,15.6,12.4
2023,AL,1053969900,01053,18.3,18.2
2023,AL,1059973702,01059,16.9,14.899999999999999
2023,AL,1055001200,01055,16.0,16.3
2023,AL,1043964300,01043,13.5,14.7
2023,AL,1017953800,01017,19.5,15.1
2023,AL,1015000300,01015,25.3,16.1
2023,AL,1049960601,01049,15.2,16.0
2023,AL,1069040206,01069,12.9,15.299999999999999
2023,AL,1021060103,01021,12.7,15.9
2023,AL,1057020000,01057,14.3,17.8
2023,AL,1049960303,01049,14.1,16.0
2023,AL,1073011114,01073,9.4,14.099999999999998
2023,AL,1089000502,01089,20.0,11.899999999999999
2023,AL,1083021202,01083,9.2,12.9
2023,AL,1089000901,01089,12.4,11.899999999999999
2023,AL,1073004902,01073,7.0,14.099999999999998
2023,AL,1073012500,01073,19.0,14.099999999999998
2023,AL,1069041100,01069,17.2,15.299999999999999
2023,AL,1089010802,01089,11.7,11.899999999999999
2023,AL,1073003002,01073,20.2,14.099999999999998
2023,AL,1069040700,01069,18.7,15.299999999999999
2023,AL,1073010802,01073,9.2,14.099999999999998
2023,AL,1073003400,01073,25.7,14.099999999999998
2023,AL,1081041104,01081,15.5,14.099999999999998
2023,AL,1077010400,01077,10.4,14.000000000000002
2023,AL,1087232100,01087,18.7,16.400000000000002
2023,AL,1073014206,01073,13.2,14.099999999999998
2023,AL,1069041000,01069,21.4,15.299999999999999
2023,AL,1073011500,01073,12.9,14.099999999999998
2023,AL,1073012910,01073,9.2,14.099999999999998
2023,AL,1071950601,01071,16.3,16.8
2023,AL,1073011803,01073,18.2,14.099999999999998
2023,AL,1081042005,01081,12.9,14.099999999999998
2023,AL,1081040401,01081,6.8,14.099999999999998
2023,AL,1089002922,01089,11.4,11.899999999999999
2023,AL,1089001404,01089,10.6,11.899999999999999
2023,AL,1089002701,01089,13.3,11.899999999999999
2023,AL,1077011101,01077,15.0,14.000000000000002
